date,id_station,id_parameter,unit,value
2017-01-01 00:00:00,ACO,CO,15,1.1
2017-01-01 00:00:00,ACO,NO,1,10.5
2017-01-01 00:00:00,ACO,NO2,1,25.5
2017-01-01 00:00:00,ACO,NOX,1,36.5
2017-01-01 00:00:00,ACO,O3,1,4.5
2017-01-01 00:00:00,ACO,PM10,2,204.0
2017-01-01 00:00:00,ACO,SO2,1,2.0
2017-01-01 00:00:00,AJM,CO,15,0.48
2017-01-01 00:00:00,AJM,NO,1,0.0
2017-01-01 00:00:00,AJM,NO2,1,10.6
2017-01-01 00:00:00,AJM,NOX,1,11.0
2017-01-01 00:00:00,AJM,O3,1,30.0
2017-01-01 00:00:00,AJM,PM10,2,35.2
2017-01-01 00:00:00,AJM,PM2.5,2,24.8
2017-01-01 00:00:00,AJM,PMCO,2,10.4
2017-01-01 00:00:00,AJM,SO2,1,1.0
2017-01-01 00:00:00,AJU,O3,1,5.5
2017-01-01 00:00:00,AJU,PM2.5,2,16.0
2017-01-01 00:00:00,ATI,CO,15,0.9199999999999999
2017-01-01 00:00:00,ATI,NO,1,
2017-01-01 00:00:00,ATI,NO2,1,
2017-01-01 00:00:00,ATI,NOX,1,
2017-01-01 00:00:00,ATI,O3,1,3.8
2017-01-01 00:00:00,ATI,PM10,2,
2017-01-01 00:00:00,ATI,SO2,1,2.0
2017-01-01 00:00:00,BJU,CO,15,1.2
2017-01-01 00:00:00,BJU,O3,1,1.8
2017-01-01 00:00:00,BJU,PM10,2,88.0
2017-01-01 00:00:00,BJU,PM2.5,2,73.2
2017-01-01 00:00:00,BJU,PMCO,2,14.8
2017-01-01 00:00:00,BJU,SO2,1,
2017-01-01 00:00:00,CAM,CO,15,1.08
2017-01-01 00:00:00,CAM,NO,1,11.0
2017-01-01 00:00:00,CAM,NO2,1,31.6
2017-01-01 00:00:00,CAM,NOX,1,42.6
2017-01-01 00:00:00,CAM,O3,1,6.8
2017-01-01 00:00:00,CAM,PM10,2,104.0
2017-01-01 00:00:00,CAM,PM2.5,2,76.4
2017-01-01 00:00:00,CAM,PMCO,2,27.8
2017-01-01 00:00:00,CAM,SO2,1,3.4
2017-01-01 00:00:00,CCA,CO,15,0.9199999999999999
2017-01-01 00:00:00,CCA,NO,1,6.8
2017-01-01 00:00:00,CCA,NO2,1,26.0
2017-01-01 00:00:00,CCA,NOX,1,32.8
2017-01-01 00:00:00,CCA,O3,1,4.0
2017-01-01 00:00:00,CCA,PM2.5,2,59.4
2017-01-01 00:00:00,CCA,SO2,1,1.0
2017-01-01 00:00:00,CHO,CO,15,1.08
2017-01-01 00:00:00,CHO,NO,1,
2017-01-01 00:00:00,CHO,NO2,1,
2017-01-01 00:00:00,CHO,NOX,1,
2017-01-01 00:00:00,CHO,O3,1,9.2
2017-01-01 00:00:00,CHO,PM10,2,99.6
2017-01-01 00:00:00,CHO,SO2,1,3.2
2017-01-01 00:00:00,COY,NO,1,16.4
2017-01-01 00:00:00,COY,NO2,1,35.6
2017-01-01 00:00:00,COY,NOX,1,51.8
2017-01-01 00:00:00,COY,O3,1,4.2
2017-01-01 00:00:00,COY,PM2.5,2,91.6
2017-01-01 00:00:00,CUA,CO,15,0.58
2017-01-01 00:00:00,CUA,NO,1,2.4
2017-01-01 00:00:00,CUA,NO2,1,11.0
2017-01-01 00:00:00,CUA,NOX,1,13.0
2017-01-01 00:00:00,CUA,O3,1,28.2
2017-01-01 00:00:00,CUA,PM10,2,49.6
2017-01-01 00:00:00,CUA,SO2,1,1.8
2017-01-01 00:00:00,CUT,NO,1,16.4
2017-01-01 00:00:00,CUT,NO2,1,23.8
2017-01-01 00:00:00,CUT,NOX,1,40.4
2017-01-01 00:00:00,CUT,O3,1,2.2
2017-01-01 00:00:00,CUT,PM10,2,146.0
2017-01-01 00:00:00,CUT,SO2,1,1.2
2017-01-01 00:00:00,FAC,CO,15,1.28
2017-01-01 00:00:00,FAC,NO,1,24.6
2017-01-01 00:00:00,FAC,NO2,1,29.2
2017-01-01 00:00:00,FAC,NOX,1,54.0
2017-01-01 00:00:00,FAC,O3,1,2.8
2017-01-01 00:00:00,FAC,PM10,2,108.6
2017-01-01 00:00:00,FAC,SO2,1,2.2
2017-01-01 00:00:00,GAM,O3,1,2.8
2017-01-01 00:00:00,GAM,PM10,2,
2017-01-01 00:00:00,GAM,PM2.5,2,
2017-01-01 00:00:00,GAM,PMCO,2,
2017-01-01 00:00:00,HGM,CO,15,0.8
2017-01-01 00:00:00,HGM,NO,1,9.75
2017-01-01 00:00:00,HGM,NO2,1,31.5
2017-01-01 00:00:00,HGM,NOX,1,41.0
2017-01-01 00:00:00,HGM,O3,1,1.0
2017-01-01 00:00:00,HGM,PM10,2,
2017-01-01 00:00:00,HGM,PM2.5,2,
2017-01-01 00:00:00,HGM,PMCO,2,
2017-01-01 00:00:00,HGM,SO2,1,1.75
2017-01-01 00:00:00,INN,CO,15,0.1
2017-01-01 00:00:00,INN,O3,1,22.6
2017-01-01 00:00:00,INN,PM10,2,14.8
2017-01-01 00:00:00,INN,PM2.5,2,11.2
2017-01-01 00:00:00,INN,PMCO,2,3.8
2017-01-01 00:00:00,INN,SO2,1,1.0
2017-01-01 00:00:00,IZT,CO,15,1.42
2017-01-01 00:00:00,IZT,NO,1,15.8
2017-01-01 00:00:00,IZT,NO2,1,36.2
2017-01-01 00:00:00,IZT,NOX,1,52.2
2017-01-01 00:00:00,IZT,O3,1,5.4
2017-01-01 00:00:00,IZT,PM10,2,158.4
2017-01-01 00:00:00,IZT,SO2,1,10.8
2017-01-01 00:00:00,LLA,CO,15,
2017-01-01 00:00:00,LLA,NO,1,
2017-01-01 00:00:00,LLA,NO2,1,
2017-01-01 00:00:00,LLA,NOX,1,
2017-01-01 00:00:00,LLA,O3,1,4.0
2017-01-01 00:00:00,LLA,SO2,1,5.8
2017-01-01 00:00:00,LPR,CO,15,1.42
2017-01-01 00:00:00,LPR,NO,1,
2017-01-01 00:00:00,LPR,NO2,1,
2017-01-01 00:00:00,LPR,NOX,1,
2017-01-01 00:00:00,LPR,O3,1,2.2
2017-01-01 00:00:00,LPR,SO2,1,6.2
2017-01-01 00:00:00,MER,CO,15,1.3399999999999999
2017-01-01 00:00:00,MER,NO,1,22.8
2017-01-01 00:00:00,MER,NO2,1,42.2
2017-01-01 00:00:00,MER,NOX,1,64.6
2017-01-01 00:00:00,MER,O3,1,1.8
2017-01-01 00:00:00,MER,PM10,2,106.2
2017-01-01 00:00:00,MER,PM2.5,2,75.4
2017-01-01 00:00:00,MER,PMCO,2,30.8
2017-01-01 00:00:00,MER,SO2,1,5.2
2017-01-01 00:00:00,MGH,CO,15,1.1
2017-01-01 00:00:00,MGH,NO,1,21.2
2017-01-01 00:00:00,MGH,NO2,1,27.4
2017-01-01 00:00:00,MGH,NOX,1,48.6
2017-01-01 00:00:00,MGH,O3,1,10.8
2017-01-01 00:00:00,MGH,PM10,2,64.0
2017-01-01 00:00:00,MGH,PM2.5,2,56.0
2017-01-01 00:00:00,MGH,PMCO,2,8.0
2017-01-01 00:00:00,MGH,SO2,1,3.0
2017-01-01 00:00:00,MON,CO,15,1.2000000000000002
2017-01-01 00:00:00,MON,NO,1,8.0
2017-01-01 00:00:00,MON,NO2,1,24.0
2017-01-01 00:00:00,MON,NOX,1,32.0
2017-01-01 00:00:00,MON,O3,1,6.0
2017-01-01 00:00:00,MON,SO2,1,3.0
2017-01-01 00:00:00,MPA,CO,15,0.25
2017-01-01 00:00:00,MPA,O3,1,33.0
2017-01-01 00:00:00,MPA,PM10,2,20.0
2017-01-01 00:00:00,MPA,PM2.5,2,14.0
2017-01-01 00:00:00,MPA,PMCO,2,6.0
2017-01-01 00:00:00,MPA,SO2,1,1.0
2017-01-01 00:00:00,NEZ,CO,15,1.6199999999999999
2017-01-01 00:00:00,NEZ,NO,1,30.4
2017-01-01 00:00:00,NEZ,NO2,1,42.2
