,,,,,value,value,value,value,value,value,value,value
,,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,hour,unit,,,,,,,,
2021-01-03,ACO,CO,0,15,0.0,,,,,,,
2021-01-03,ACO,CO,6,15,0.0,,,,,,,
2021-01-03,ACO,CO,12,15,0.0,,,,,,,
2021-01-03,ACO,CO,18,15,0.0,,,,,,,
2021-01-03,ACO,NO,0,1,0.0,,,,,,,
2021-01-03,ACO,NO,6,1,0.0,,,,,,,
2021-01-03,ACO,NO,12,1,0.0,,,,,,,
2021-01-03,ACO,NO,18,1,0.0,,,,,,,
2021-01-03,ACO,NO2,0,1,0.0,,,,,,,
2021-01-03,ACO,NO2,6,1,0.0,,,,,,,
2021-01-03,ACO,NO2,12,1,0.0,,,,,,,
2021-01-03,ACO,NO2,18,1,0.0,,,,,,,
2021-01-03,ACO,NOX,0,1,0.0,,,,,,,
2021-01-03,ACO,NOX,6,1,0.0,,,,,,,
2021-01-03,ACO,NOX,12,1,0.0,,,,,,,
2021-01-03,ACO,NOX,18,1,0.0,,,,,,,
2021-01-03,ACO,O3,0,1,0.0,,,,,,,
2021-01-03,ACO,O3,6,1,0.0,,,,,,,
2021-01-03,ACO,O3,12,1,0.0,,,,,,,
2021-01-03,ACO,O3,18,1,0.0,,,,,,,
2021-01-03,ACO,PM10,0,2,3.0,81.06666666666666,27.214946873608504,57.0,66.3,75.6,93.1,110.6
2021-01-03,ACO,PM10,6,2,3.0,58.61111111111111,20.654790494468113,40.0,47.5,55.0,67.91666666666666,80.83333333333333
2021-01-03,ACO,PM10,12,2,3.0,37.22222222222222,13.090850635859017,29.33333333333333,29.666666666666664,30.0,41.16666666666667,52.333333333333336
2021-01-03,ACO,PM10,18,2,3.0,72.83333333333333,3.2188679859713245,70.0,71.08333333333334,72.16666666666667,74.25,76.33333333333333
2021-01-03,ACO,SO2,0,1,0.0,,,,,,,
2021-01-03,ACO,SO2,6,1,0.0,,,,,,,
2021-01-03,ACO,SO2,12,1,0.0,,,,,,,
2021-01-03,ACO,SO2,18,1,0.0,,,,,,,
2021-01-03,AJM,CO,0,15,0.0,,,,,,,
2021-01-03,AJM,CO,6,15,0.0,,,,,,,
2021-01-03,AJM,CO,12,15,0.0,,,,,,,
2021-01-03,AJM,CO,18,15,0.0,,,,,,,
2021-01-03,AJM,NO,0,1,0.0,,,,,,,
2021-01-03,AJM,NO,6,1,0.0,,,,,,,
2021-01-03,AJM,NO,12,1,0.0,,,,,,,
2021-01-03,AJM,NO,18,1,0.0,,,,,,,
2021-01-03,AJM,NO2,0,1,0.0,,,,,,,
2021-01-03,AJM,NO2,6,1,0.0,,,,,,,
2021-01-03,AJM,NO2,12,1,0.0,,,,,,,
2021-01-03,AJM,NO2,18,1,0.0,,,,,,,
2021-01-03,AJM,NOX,0,1,0.0,,,,,,,
2021-01-03,AJM,NOX,6,1,0.0,,,,,,,
2021-01-03,AJM,NOX,12,1,0.0,,,,,,,
2021-01-03,AJM,NOX,18,1,0.0,,,,,,,
2021-01-03,AJM,O3,0,1,0.0,,,,,,,
2021-01-03,AJM,O3,6,1,0.0,,,,,,,
2021-01-03,AJM,O3,12,1,0.0,,,,,,,
2021-01-03,AJM,O3,18,1,0.0,,,,,,,
2021-01-03,AJM,PM10,0,2,0.0,,,,,,,
2021-01-03,AJM,PM10,6,2,0.0,,,,,,,
2021-01-03,AJM,PM10,12,2,0.0,,,,,,,
2021-01-03,AJM,PM10,18,2,0.0,,,,,,,
2021-01-03,AJM,PM2.5,0,2,0.0,,,,,,,
2021-01-03,AJM,PM2.5,6,2,0.0,,,,,,,
2021-01-03,AJM,PM2.5,12,2,0.0,,,,,,,
2021-01-03,AJM,PM2.5,18,2,0.0,,,,,,,
2021-01-03,AJM,PMCO,0,2,0.0,,,,,,,
2021-01-03,AJM,PMCO,6,2,0.0,,,,,,,
2021-01-03,AJM,PMCO,12,2,0.0,,,,,,,
2021-01-03,AJM,PMCO,18,2,0.0,,,,,,,
2021-01-03,AJM,SO2,0,1,0.0,,,,,,,
2021-01-03,AJM,SO2,6,1,0.0,,,,,,,
2021-01-03,AJM,SO2,12,1,0.0,,,,,,,
2021-01-03,AJM,SO2,18,1,0.0,,,,,,,
2021-01-03,AJU,O3,0,1,3.0,26.233333333333334,2.8571547618799604,24.2,24.6,25.0,27.25,29.5
2021-01-03,AJU,O3,6,1,3.0,27.555555555555557,5.058912194592094,23.0,24.833333333333336,26.666666666666668,29.833333333333336,33.0
2021-01-03,AJU,O3,12,1,3.0,49.41111111111112,1.772109017631355,48.0,48.41666666666667,48.833333333333336,50.11666666666667,51.4
2021-01-03,AJU,O3,18,1,3.0,38.55555555555555,15.213602587937666,21.33333333333333,32.74999999999999,44.16666666666666,47.16666666666666,50.16666666666666
2021-01-03,AJU,PM2.5,0,2,0.0,,,,,,,
2021-01-03,AJU,PM2.5,6,2,0.0,,,,,,,
2021-01-03,AJU,PM2.5,12,2,0.0,,,,,,,
2021-01-03,AJU,PM2.5,18,2,0.0,,,,,,,
2021-01-03,ATI,CO,0,15,3.0,0.42,0.12000000000000002,0.3,0.36,0.42,0.48,0.54
2021-01-03,ATI,CO,6,15,3.0,0.5444444444444444,0.00962250448649373,0.5333333333333333,0.5416666666666666,0.5499999999999999,0.5499999999999999,0.5499999999999999
2021-01-03,ATI,CO,12,15,3.0,0.2666666666666666,0.05773502691896263,0.1999999999999999,0.24999999999999994,0.3,0.3,0.3
2021-01-03,ATI,CO,18,15,3.0,0.4444444444444444,0.01924500897298752,0.4333333333333333,0.4333333333333333,0.4333333333333333,0.44999999999999996,0.4666666666666666
2021-01-03,ATI,NO,0,1,3.0,1.9333333333333333,1.446835627614047,1.0,1.1,1.2,2.4,3.6
