date,id_station,id_parameter,unit,count,mean,std,min,Q1,Q2,Q3,max
2010-01-31,ACO,O3,1,616.0,23.662337662337663,24.01082974608656,0.0,4.0,17.0,36.0,130.0
2010-01-31,ACO,PM2.5,2,604.0,18.978476821192054,10.217917488840316,1.0,12.0,18.0,24.0,75.0
2010-01-31,ACO,SO2,1,622.0,3.585209003215434,5.81947752949625,0.0,0.0,3.0,5.0,66.0
2010-01-31,ARA,SO2,1,0.0,,,,,,,
2010-01-31,ATI,NO,1,679.0,19.65979381443299,32.56879291490287,0.0,0.0,5.0,24.0,209.0
2010-01-31,ATI,NO2,1,679.0,28.762886597938145,15.06832153158262,6.0,18.0,26.0,35.0,106.0
2010-01-31,ATI,NOX,1,679.0,47.82326951399117,41.14297669684831,5.0,19.0,36.0,60.0,246.0
2010-01-31,ATI,SO2,1,703.0,9.847795163584635,15.392338813014096,1.0,3.0,4.0,9.0,116.0
2010-01-31,AZC,NO,1,654.0,33.18348623853211,46.68427042519004,0.0,5.0,13.5,44.0,379.0
2010-01-31,AZC,NO2,1,654.0,34.23394495412844,19.21161300237872,1.0,24.0,30.0,40.0,158.0
2010-01-31,AZC,NOX,1,654.0,67.31498470948013,55.8083725427019,3.0,31.0,52.0,84.75,420.0
2010-01-31,AZC,O3,1,618.0,18.7411003236246,24.94059639511884,0.0,1.25,8.0,26.0,134.0
2010-01-31,AZC,SO2,1,655.0,8.908396946564885,14.59884079730537,1.0,2.0,4.0,9.0,153.0
2010-01-31,CAM,PM2.5,2,0.0,,,,,,,
2010-01-31,CES,NO,1,688.0,36.8531976744186,44.77240151430618,1.0,9.0,22.0,47.0,395.0
2010-01-31,CES,NO2,1,688.0,33.700581395348834,14.595682387217554,5.0,24.0,31.0,42.0,103.0
2010-01-31,CES,NOX,1,688.0,70.46802325581395,51.38893701864536,7.0,38.0,59.0,86.0,460.0
2010-01-31,CES,O3,1,693.0,16.70995670995671,18.83011597873707,1.0,2.0,9.0,25.0,123.0
2010-01-31,CES,PM10,2,681.0,42.93538913362702,24.604792608288363,1.0,24.0,40.0,58.0,133.0
2010-01-31,CES,SO2,1,693.0,6.936507936507937,4.936476000379346,2.0,4.0,5.0,7.0,43.0
2010-01-31,CHO,CO,15,623.0,1.0118780096308189,0.7220817782074139,0.3,0.6,0.8,1.1,5.6
2010-01-31,CHO,O3,1,622.0,24.469453376205788,20.646277912718105,1.0,6.0,20.0,38.0,101.0
2010-01-31,CHO,SO2,1,622.0,5.233118971061093,3.2883921520350143,1.0,3.0,4.0,6.0,28.0
2010-01-31,COY,O3,1,682.0,19.60410557184751,24.301976512511946,0.0,2.0,8.0,29.75,130.0
2010-01-31,COY,PM2.5,2,641.0,21.858034321372852,15.140492123939364,1.0,11.0,19.0,28.0,94.0
2010-01-31,CUA,O3,1,0.0,,,,,,,
2010-01-31,FAC,CO,15,704.0,1.461363636363636,0.9414201092292934,0.4,0.8,1.2,1.8,5.8
2010-01-31,FAC,NO,1,704.0,36.046875,52.69965697353279,0.0,5.0,14.0,41.25,357.0
