,,,,value,value,value,value,value,value,value,value
,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,unit,,,,,,,,
2017-01-31,ACO,CO,15,683.0,0.383601756954612,0.2504434181328358,0.0,0.2,0.3,0.5,1.4
2017-01-31,ACO,NO,1,684.0,13.527777777777779,18.97599902837199,1.0,2.0,5.0,16.25,143.0
2017-01-31,ACO,NO2,1,684.0,21.92543859649123,10.099446759300953,4.0,14.0,21.5,28.0,66.0
2017-01-31,ACO,NOX,1,684.0,35.42836257309941,24.93662508282447,6.0,17.0,29.0,45.0,170.0
2017-01-31,ACO,O3,1,406.0,26.211822660098523,24.866447385153265,1.0,4.0,18.0,47.0,101.0
2017-01-31,ACO,PM10,2,688.0,71.79941860465117,31.93699036185589,10.0,52.0,67.0,86.0,230.0
2017-01-31,ACO,SO2,1,683.0,2.7101024890190337,5.073448839528244,0.0,1.0,1.0,2.0,72.0
2017-01-31,AJM,CO,15,695.0,0.5674820143884886,0.22207137753920822,0.1,0.4,0.5,0.7,1.6
2017-01-31,AJM,NO,1,698.0,4.921203438395415,9.145144472135451,0.0,0.0,1.0,5.0,67.0
2017-01-31,AJM,NO2,1,698.0,20.570200573065904,10.093327779771126,3.0,13.0,19.0,27.0,61.0
2017-01-31,AJM,NOX,1,698.0,25.472779369627506,16.909836975120143,3.0,13.0,21.0,33.0,112.0
2017-01-31,AJM,O3,1,696.0,45.804597701149426,24.799263892746772,1.0,30.0,41.0,60.0,132.0
2017-01-31,AJM,PM10,2,710.0,42.77323943661972,19.472974710484536,5.0,29.25,41.0,52.0,126.0
2017-01-31,AJM,PM2.5,2,710.0,22.187323943661973,13.05840660094337,1.0,14.0,20.0,27.0,75.0
2017-01-31,AJM,PMCO,2,710.0,20.61549295774648,9.464656962667268,3.0,14.0,20.0,26.0,104.0
2017-01-31,AJM,SO2,1,698.0,7.287965616045845,9.373420013100928,0.0,1.0,3.5,9.0,86.0
2017-01-31,AJU,O3,1,691.0,34.59189580318379,26.663412336293614,0.0,11.0,28.0,56.0,117.0
2017-01-31,AJU,PM2.5,2,652.0,19.756134969325153,11.977463826857964,1.0,12.0,18.0,25.0,84.0
2017-01-31,ATI,CO,15,671.0,0.6709388971684054,0.4529230248178225,0.0,0.4,0.5,0.8500000000000001,2.6
2017-01-31,ATI,NO,1,0.0,,,,,,,
2017-01-31,ATI,NO2,1,0.0,,,,,,,
2017-01-31,ATI,NOX,1,0.0,,,,,,,
2017-01-31,ATI,O3,1,673.0,23.7592867756315,22.09176628488074,0.0,5.0,17.0,37.0,100.0
2017-01-31,ATI,PM10,2,0.0,,,,,,,
2017-01-31,ATI,SO2,1,215.0,13.693023255813953,24.465285298611313,1.0,2.0,5.0,14.0,163.0
2017-01-31,BJU,CO,15,655.0,0.9618320610687027,0.49810927151693196,0.2,0.6,0.8,1.2,3.0
2017-01-31,BJU,O3,1,675.0,29.303703703703704,32.71354724278375,1.0,2.0,14.0,52.0,128.0
2017-01-31,BJU,PM10,2,692.0,59.524566473988436,21.471503087092415,14.0,43.75,57.0,73.0,198.0
2017-01-31,BJU,PM2.5,2,692.0,31.74277456647399,15.565101315976156,2.0,21.0,29.0,39.0,103.0
2017-01-31,BJU,PMCO,2,692.0,27.776011560693643,12.641115571129182,6.0,19.0,26.0,35.0,167.0
2017-01-31,BJU,SO2,1,627.0,9.649122807017545,15.345686920329753,1.0,2.0,3.0,9.0,122.0
2017-01-31,CAM,CO,15,672.0,1.1083333333333325,0.7572533839680403,0.2,0.6,0.9,1.3,5.0
2017-01-31,CAM,NO,1,652.0,44.42638036809816,72.41656533103169,0.0,4.0,14.0,49.0,455.0
2017-01-31,CAM,NO2,1,652.0,43.79294478527607,18.513707610911514,8.0,31.0,42.0,54.0,115.0
2017-01-31,CAM,NOX,1,652.0,88.46779141104294,81.81056312632893,9.0,38.0,61.0,105.0,520.0
2017-01-31,CAM,O3,1,680.0,26.33529411764706,30.557065400055905,0.0,2.0,10.0,48.0,124.0
2017-01-31,CAM,PM10,2,704.0,74.98579545454545,33.97061440265821,14.0,52.0,69.0,92.0,352.0
2017-01-31,CAM,PM2.5,2,704.0,32.76136363636363,15.633330056778263,1.0,21.0,30.0,43.0,108.0
2017-01-31,CAM,PMCO,2,704.0,42.21306818181818,24.193742645072497,9.0,27.0,37.0,51.0,319.0
2017-01-31,CAM,SO2,1,672.0,11.742559523809524,22.127474569998526,1.0,2.0,5.0,10.0,223.0
2017-01-31,CCA,CO,15,663.0,0.8116138763197598,0.36806133148518805,0.2,0.6,0.7,1.0,2.6
2017-01-31,CCA,NO,1,662.0,19.163141993957705,31.457686698845816,0.0,1.0,6.0,22.0,210.0
2017-01-31,CCA,NO2,1,662.0,34.25377643504532,13.782806581941426,4.0,25.0,32.0,42.75,91.0
2017-01-31,CCA,NOX,1,662.0,53.4214501510574,38.20957843429917,5.0,28.25,42.0,66.0,253.0
2017-01-31,CCA,O3,1,660.0,29.703030303030303,32.14279109901456,0.0,2.0,15.0,51.25,130.0
2017-01-31,CCA,PM2.5,2,641.0,22.953198127925116,11.225987981565206,1.0,16.0,22.0,27.0,75.0
2017-01-31,CCA,SO2,1,661.0,7.007564296520424,12.210710783825727,0.0,1.0,2.0,6.0,116.0
2017-01-31,CHO,CO,15,561.0,0.8390374331550782,0.6176208386882446,0.1,0.4,0.6,1.0,3.6
2017-01-31,CHO,NO,1,0.0,,,,,,,
2017-01-31,CHO,NO2,1,0.0,,,,,,,
2017-01-31,CHO,NOX,1,0.0,,,,,,,
2017-01-31,CHO,O3,1,693.0,28.152958152958153,26.266084706938404,1.0,3.0,20.0,51.0,96.0
2017-01-31,CHO,PM10,2,701.0,76.28245363766048,40.89467436825176,1.0,48.0,68.0,98.0,247.0
2017-01-31,CHO,SO2,1,693.0,3.2467532467532467,3.825455731437308,0.0,1.0,2.0,3.0,43.0
2017-01-31,COY,NO,1,471.0,22.88535031847134,30.950468628672848,0.0,3.0,10.0,29.5,176.0
2017-01-31,COY,NO2,1,471.0,39.560509554140125,14.494461559851576,9.0,30.0,38.0,48.0,92.0
2017-01-31,COY,NOX,1,471.0,62.45010615711253,39.335939321810166,9.0,35.0,52.0,76.0,225.0
2017-01-31,COY,O3,1,695.0,30.792805755395683,32.264490612875385,2.0,4.0,15.0,55.0,124.0
2017-01-31,COY,PM2.5,2,663.0,31.69532428355958,14.508902127470915,5.0,23.0,29.0,38.0,114.0
2017-01-31,CUA,CO,15,684.0,0.7020467836257307,0.3533506930840281,0.1,0.5,0.6,0.8,2.5
2017-01-31,CUA,NO,1,676.0,14.470414201183432,25.93503017253702,0.0,2.0,5.0,13.0,210.0
2017-01-31,CUA,NO2,1,676.0,29.09467455621302,15.069220080012604,2.0,18.0,27.0,38.0,99.0
2017-01-31,CUA,NOX,1,676.0,43.585798816568044,35.72417012837313,3.0,21.0,33.0,52.0,274.0
2017-01-31,CUA,O3,1,696.0,29.257183908045977,19.596687580929245,1.0,14.0,27.0,40.0,87.0
2017-01-31,CUA,PM10,2,712.0,43.872191011235955,19.850615431939502,2.0,29.0,42.0,57.0,115.0
2017-01-31,CUA,SO2,1,696.0,6.939655172413793,9.705999443883341,0.0,1.0,3.0,9.0,84.0
2017-01-31,CUT,NO,1,693.0,32.61904761904762,47.27064231743864,0.0,2.0,10.0,48.0,269.0
2017-01-31,CUT,NO2,1,693.0,27.303030303030305,13.10508680064915,3.0,17.0,26.0,35.0,85.0
2017-01-31,CUT,NOX,1,693.0,59.916305916305916,52.79846547274098,3.0,21.0,43.0,79.0,303.0
2017-01-31,CUT,O3,1,691.0,27.706222865412446,31.084255841499917,0.0,2.0,14.0,50.0,137.0
2017-01-31,CUT,PM10,2,607.0,71.78088962108731,44.79203610997423,1.0,40.0,61.0,100.0,229.0
2017-01-31,CUT,SO2,1,692.0,11.697976878612717,29.17708488595632,1.0,2.0,4.0,9.0,400.0
2017-01-31,FAC,CO,15,686.0,0.9377551020408155,0.6624133523914558,0.2,0.5,0.7,1.2,3.5
2017-01-31,FAC,NO,1,684.0,33.932748538011694,48.28746440629073,1.0,6.0,12.0,43.0,247.0
2017-01-31,FAC,NO2,1,684.0,37.603801169590646,17.605803570167737,6.0,25.0,34.0,46.0,120.0
2017-01-31,FAC,NOX,1,684.0,71.52631578947368,57.824120242922156,7.0,32.0,49.0,90.5,293.0
2017-01-31,FAC,O3,1,687.0,28.181950509461426,28.000631401312788,0.0,6.0,18.0,45.0,126.0
2017-01-31,FAC,PM10,2,694.0,58.50864553314121,31.451454796892676,1.0,35.0,52.0,78.75,223.0
2017-01-31,FAC,SO2,1,678.0,9.604719764011799,16.372603160891693,1.0,2.0,5.0,10.0,156.0
2017-01-31,GAM,O3,1,565.0,28.660176991150443,32.697429627173086,0.0,2.0,11.0,54.0,131.0
2017-01-31,GAM,PM10,2,0.0,,,,,,,
2017-01-31,GAM,PM2.5,2,0.0,,,,,,,
2017-01-31,GAM,PMCO,2,0.0,,,,,,,
2017-01-31,HGM,CO,15,596.0,0.9367449664429516,0.5184418887314445,0.2,0.6,0.8,1.2,3.2
2017-01-31,HGM,NO,1,596.0,26.296979865771814,36.88844036931169,0.0,4.0,11.0,32.25,226.0
2017-01-31,HGM,NO2,1,596.0,41.99832214765101,16.847960668659137,8.0,31.0,41.0,52.0,117.0
2017-01-31,HGM,NOX,1,596.0,68.28523489932886,46.71306135282864,10.0,37.0,54.5,85.25,308.0
2017-01-31,HGM,O3,1,588.0,27.474489795918366,31.161026452700877,0.0,2.0,12.0,48.0,118.0
2017-01-31,HGM,PM10,2,280.0,63.13214285714286,25.668559538796156,16.0,44.0,59.0,79.25,155.0
2017-01-31,HGM,PM2.5,2,280.0,32.035714285714285,16.321330114064484,1.0,20.0,30.5,41.0,84.0
2017-01-31,HGM,PMCO,2,280.0,31.060714285714287,14.789317060958028,8.0,21.0,28.0,37.0,124.0
2017-01-31,HGM,SO2,1,588.0,9.561224489795919,18.777582593031095,0.0,1.0,3.0,7.0,133.0
2017-01-31,INN,CO,15,571.0,0.16304728546409775,0.13025142840778156,0.0,0.1,0.1,0.2,0.7
2017-01-31,INN,O3,1,641.0,44.64430577223089,14.711331820449066,10.0,34.0,42.0,53.0,108.0
2017-01-31,INN,PM10,2,613.0,23.179445350734095,12.510666103710395,2.0,14.0,22.0,29.0,77.0
2017-01-31,INN,PM2.5,2,613.0,13.384991843393149,7.66870624244663,1.0,8.0,12.0,17.0,50.0
2017-01-31,INN,PMCO,2,613.0,9.765089722675366,6.104237909651211,1.0,5.0,8.0,13.0,35.0
2017-01-31,INN,SO2,1,642.0,2.736760124610592,4.500392158516356,0.0,1.0,1.0,2.0,45.0
2017-01-31,IZT,CO,15,682.0,1.1958944281524935,0.6167611203595084,0.3,0.7,1.0,1.5,4.3
2017-01-31,IZT,NO,1,681.0,29.123348017621144,38.73973561904004,0.0,5.0,11.0,39.0,272.0
2017-01-31,IZT,NO2,1,681.0,40.91776798825257,15.986731401169845,9.0,30.0,39.0,50.0,96.0
2017-01-31,IZT,NOX,1,681.0,70.08957415565345,47.24973600885646,9.0,37.0,55.0,92.0,316.0
2017-01-31,IZT,O3,1,682.0,28.464809384164223,30.88807076292621,0.0,3.0,14.0,51.0,136.0
2017-01-31,IZT,PM10,2,708.0,47.54943502824859,20.049982443953517,8.0,34.0,45.0,57.0,214.0
2017-01-31,IZT,SO2,1,683.0,8.878477306002928,16.165153573454592,0.0,2.0,3.0,8.0,114.0
2017-01-31,LLA,CO,15,0.0,,,,,,,
2017-01-31,LLA,NO,1,0.0,,,,,,,
2017-01-31,LLA,NO2,1,0.0,,,,,,,
2017-01-31,LLA,NOX,1,0.0,,,,,,,
