,,,,value,value,value,value,value,value,value,value
,,,,count,mean,std,min,25%,50%,75%,max
date,id_station,id_parameter,unit,,,,,,,,
2015-01-04,ACO,CO,15,90.0,0.36222222222222233,0.28147994830605066,0.1,0.1,0.3,0.5,1.2
2015-01-04,ACO,NO,1,90.0,12.5,15.697455601451802,1.0,2.0,7.0,17.0,113.0
2015-01-04,ACO,NO2,1,90.0,12.666666666666666,7.397236046226691,3.0,6.0,12.0,17.0,29.0
2015-01-04,ACO,NOX,1,90.0,25.211111111111112,20.88410741620971,5.0,8.25,21.5,36.75,141.0
2015-01-04,ACO,O3,1,90.0,19.855555555555554,16.207614461783784,2.0,4.0,18.0,35.5,54.0
2015-01-04,ACO,PM10,2,92.0,42.05434782608695,34.15072091670153,9.0,22.75,30.0,46.0,181.0
2015-01-04,ACO,SO2,1,90.0,1.7333333333333334,1.8711289628204715,0.0,1.0,1.0,2.0,11.0
2015-01-04,AJM,CO,15,90.0,0.4199999999999998,0.30655754450002987,0.1,0.2,0.3,0.5,1.4
2015-01-04,AJM,NO,1,87.0,4.885057471264368,7.264800910148914,0.0,1.0,2.0,5.0,40.0
2015-01-04,AJM,NO2,1,87.0,15.931034482758621,11.735251112986191,3.0,6.0,14.0,20.0,58.0
2015-01-04,AJM,NOX,1,87.0,20.804597701149426,16.559153360322874,3.0,8.0,17.0,26.5,74.0
2015-01-04,AJM,O3,1,90.0,26.22222222222222,15.379672691084616,2.0,14.25,24.5,35.0,83.0
2015-01-04,AJM,SO2,1,90.0,2.5555555555555554,4.211037159365034,0.0,1.0,1.0,1.0,20.0
2015-01-04,AJU,O3,1,92.0,23.793478260869566,14.133226413938687,1.0,13.75,22.0,34.0,68.0
2015-01-04,ATI,CO,15,90.0,0.7288888888888885,0.4500298228430974,0.2,0.4,0.6,1.0,1.9
2015-01-04,ATI,NO,1,90.0,19.966666666666665,25.192494869560033,2.0,4.0,9.5,30.0,138.0
2015-01-04,ATI,NO2,1,90.0,20.7,9.959976084083014,5.0,12.0,19.0,28.0,51.0
2015-01-04,ATI,NOX,1,90.0,40.55555555555556,31.777707934934558,8.0,16.0,32.0,53.75,166.0
2015-01-04,ATI,O3,1,90.0,20.91111111111111,21.32975157197916,2.0,5.0,14.5,31.0,98.0
2015-01-04,ATI,PM10,2,92.0,46.25,40.42918785690891,7.0,19.0,29.0,55.25,179.0
2015-01-04,ATI,SO2,1,90.0,2.533333333333333,3.8254029676843895,0.0,1.0,1.0,2.0,18.0
2015-01-04,CAM,CO,15,90.0,1.0277777777777775,0.5840632137901441,0.3,0.5,1.0,1.4,2.6
2015-01-04,CAM,NO,1,0.0,,,,,,,
2015-01-04,CAM,NO2,1,0.0,,,,,,,
2015-01-04,CAM,NOX,1,0.0,,,,,,,
2015-01-04,CAM,O3,1,90.0,15.88888888888889,18.62247310025008,1.0,2.0,7.0,29.0,75.0
2015-01-04,CAM,PM10,2,92.0,51.03260869565217,45.12703706691372,8.0,24.0,34.5,53.0,211.0
2015-01-04,CAM,PM2.5,2,92.0,35.09782608695652,42.82832065546376,2.0,12.75,18.0,32.0,190.0
2015-01-04,CAM,PMCO,2,92.0,15.934782608695652,9.317128676014327,5.0,9.0,15.0,18.25,49.0
2015-01-04,CAM,SO2,1,90.0,6.977777777777778,11.86911559968145,1.0,1.0,3.0,5.0,67.0
2015-01-04,CCA,CO,15,90.0,1.0311111111111109,0.44359219161232505,0.5,0.7,0.9,1.2,2.2
2015-01-04,CCA,NO,1,67.0,16.52238805970149,18.35950600853495,1.0,2.0,10.0,25.5,97.0
2015-01-04,CCA,NO2,1,67.0,22.776119402985074,10.943132474258148,5.0,13.0,23.0,28.5,52.0
2015-01-04,CCA,NOX,1,67.0,39.32835820895522,25.68774502040571,5.0,14.0,37.0,56.0,129.0
2015-01-04,CCA,O3,1,90.0,17.644444444444446,19.042419300970067,0.0,1.0,10.5,31.75,75.0
2015-01-04,CCA,PM2.5,2,88.0,24.329545454545453,34.3252601570401,2.0,8.0,11.0,16.0,129.0
2015-01-04,CCA,SO2,1,90.0,1.511111111111111,2.459763597138503,0.0,0.0,1.0,1.0,14.0
2015-01-04,CHO,CO,15,0.0,,,,,,,
2015-01-04,CHO,NO,1,0.0,,,,,,,
2015-01-04,CHO,NO2,1,0.0,,,,,,,
2015-01-04,CHO,NOX,1,0.0,,,,,,,
2015-01-04,CHO,O3,1,90.0,16.7,15.175712411317342,1.0,4.0,10.0,29.75,63.0
2015-01-04,CHO,PM10,2,79.0,47.139240506329116,33.457487061066246,10.0,22.0,35.0,64.0,150.0
2015-01-04,CHO,SO2,1,90.0,1.3666666666666667,0.8135095284070064,0.0,1.0,1.0,2.0,4.0
2015-01-04,COY,NO,1,0.0,,,,,,,
2015-01-04,COY,NO2,1,0.0,,,,,,,
2015-01-04,COY,NOX,1,0.0,,,,,,,
2015-01-04,COY,O3,1,90.0,17.788888888888888,18.72659254681646,1.0,2.0,8.5,32.75,73.0
2015-01-04,COY,PM2.5,2,91.0,32.7032967032967,48.48768331705932,1.0,9.0,15.0,22.5,196.0
2015-01-04,CUA,CO,15,90.0,0.591111111111111,0.3259021857960094,0.3,0.4,0.5,0.7,2.1
2015-01-04,CUA,NO,1,90.0,7.722222222222222,7.727126852088338,1.0,3.0,5.0,10.0,43.0
2015-01-04,CUA,NO2,1,90.0,17.27777777777778,9.426269506225408,6.0,10.0,17.0,22.75,56.0
2015-01-04,CUA,NOX,1,90.0,24.988888888888887,14.909083608071269,7.0,14.0,22.0,30.75,75.0
2015-01-04,CUA,O3,1,90.0,25.766666666666666,18.74851304965366,1.0,14.0,23.0,29.0,103.0
2015-01-04,CUA,PM10,2,0.0,,,,,,,
2015-01-04,CUA,SO2,1,90.0,2.4,3.1722107982154375,0.0,1.0,1.0,2.0,16.0
2015-01-04,CUT,NO,1,87.0,35.71264367816092,42.530948525333656,1.0,3.0,19.0,55.0,191.0
2015-01-04,CUT,NO2,1,87.0,17.597701149425287,8.252497536144341,5.0,11.0,16.0,24.0,42.0
2015-01-04,CUT,NOX,1,87.0,53.310344827586206,44.8081985710432,6.0,15.5,42.0,72.5,206.0
2015-01-04,CUT,O3,1,87.0,16.32183908045977,19.307483940517443,2.0,2.0,6.0,26.5,84.0
2015-01-04,CUT,PM10,2,87.0,77.74712643678161,54.07278006513259,14.0,39.0,54.0,102.0,225.0
2015-01-04,CUT,SO2,1,87.0,2.218390804597701,3.0592037547273185,0.0,1.0,1.0,2.0,20.0
2015-01-04,FAC,CO,15,90.0,0.8733333333333334,0.5519729679099972,0.1,0.4,0.75,1.2,2.1
2015-01-04,FAC,NO,1,90.0,32.13333333333333,30.61071267280588,3.0,7.0,21.5,46.75,150.0
2015-01-04,FAC,NO2,1,90.0,24.288888888888888,11.618702904305918,5.0,15.25,23.0,31.0,58.0
2015-01-04,FAC,NOX,1,90.0,56.48888888888889,37.35202849189621,11.0,23.0,55.0,80.75,177.0
2015-01-04,FAC,O3,1,90.0,19.08888888888889,21.626369902414396,3.0,4.0,9.0,28.0,99.0
2015-01-04,FAC,PM10,2,83.0,52.433734939759034,52.240576877227085,1.0,22.0,32.0,57.5,209.0
2015-01-04,FAC,SO2,1,90.0,3.4555555555555557,3.9920176282263484,1.0,2.0,2.0,3.0,21.0
2015-01-04,HGM,CO,15,0.0,,,,,,,
2015-01-04,HGM,NO,1,90.0,31.511111111111113,36.27802889868787,1.0,5.25,17.0,42.0,153.0
2015-01-04,HGM,NO2,1,90.0,26.511111111111113,10.831959002424822,9.0,18.0,27.0,32.0,64.0
2015-01-04,HGM,NOX,1,90.0,58.06666666666667,42.117492162608826,10.0,23.25,45.5,73.75,181.0
2015-01-04,HGM,O3,1,90.0,15.177777777777777,15.628106183137188,2.0,2.25,8.0,27.0,62.0
2015-01-04,HGM,PM10,2,88.0,50.30681818181818,50.33048434226998,9.0,22.0,32.5,50.0,224.0
2015-01-04,HGM,PM2.5,2,88.0,31.75,43.379175574960136,1.0,9.0,16.0,26.25,184.0
2015-01-04,HGM,PMCO,2,88.0,18.53409090909091,10.020609639880147,1.0,10.75,15.5,26.0,46.0
2015-01-04,HGM,SO2,1,90.0,6.522222222222222,12.181426068964896,1.0,1.25,2.0,3.0,50.0
2015-01-04,IZT,CO,15,90.0,1.0577777777777773,0.5892249294438857,0.4,0.6,1.0,1.4,2.8
2015-01-04,IZT,NO,1,90.0,31.822222222222223,33.90289430413358,3.0,7.0,17.0,44.75,143.0
2015-01-04,IZT,NO2,1,90.0,25.933333333333334,10.878078151477995,9.0,18.0,26.0,32.75,65.0
2015-01-04,IZT,NOX,1,90.0,57.7,40.93937694041842,11.0,24.0,50.0,81.75,173.0
2015-01-04,IZT,O3,1,90.0,18.41111111111111,16.969168634462296,3.0,5.0,10.5,30.75,68.0
2015-01-04,IZT,PM10,2,92.0,43.30434782608695,48.08960023974361,2.0,20.0,26.0,41.0,249.0
2015-01-04,IZT,SO2,1,90.0,6.511111111111111,12.970358986346778,1.0,1.0,2.0,3.75,57.0
2015-01-04,LLA,CO,15,0.0,,,,,,,
2015-01-04,LLA,NO,1,88.0,34.55681818181818,46.76251027020642,1.0,3.75,12.5,48.75,237.0
2015-01-04,LLA,NO2,1,88.0,19.647727272727273,8.664950899207938,5.0,12.75,20.0,25.0,42.0
2015-01-04,LLA,NOX,1,88.0,54.18181818181818,50.87341637051656,6.0,17.5,39.0,73.5,270.0
2015-01-04,LLA,O3,1,88.0,16.53409090909091,16.525110717375707,1.0,2.0,9.0,31.25,63.0
2015-01-04,LLA,SO2,1,88.0,7.738636363636363,22.85762747424382,1.0,1.0,2.0,3.0,152.0
2015-01-04,LPR,CO,15,0.0,,,,,,,
2015-01-04,LPR,NO,1,0.0,,,,,,,
2015-01-04,LPR,NO2,1,0.0,,,,,,,
2015-01-04,LPR,NOX,1,0.0,,,,,,,
2015-01-04,LPR,O3,1,0.0,,,,,,,
2015-01-04,LPR,SO2,1,0.0,,,,,,,
2015-01-04,MER,CO,15,88.0,1.2431818181818188,0.6338706954231255,0.4,0.7,1.1,1.7,3.2
2015-01-04,MER,NO,1,88.0,47.5,47.421320196673165,3.0,12.75,27.5,68.25,211.0
2015-01-04,MER,NO2,1,88.0,32.38636363636363,11.535484303622551,10.0,24.75,33.0,39.25,68.0
2015-01-04,MER,NOX,1,88.0,79.9090909090909,53.70601891901476,12.0,38.0,68.5,105.0,256.0
2015-01-04,MER,O3,1,88.0,15.25,16.519754806006496,1.0,3.0,7.0,27.5,64.0
2015-01-04,MER,PM10,2,88.0,53.97727272727273,44.31781180350855,12.0,29.5,42.0,59.25,222.0
2015-01-04,MER,PM2.5,2,88.0,31.375,37.21120598119218,2.0,10.0,21.0,31.0,177.0
2015-01-04,MER,PMCO,2,88.0,22.579545454545453,11.426649221652502,7.0,14.75,19.0,28.5,61.0
2015-01-04,MER,SO2,1,88.0,6.818181818181818,12.730220587108752,1.0,1.0,2.0,5.0,63.0
2015-01-04,MGH,CO,15,90.0,0.9544444444444447,0.5751719061272049,0.3,0.4,0.8500000000000001,1.3,2.7
2015-01-04,MGH,NO,1,89.0,47.853932584269664,50.151713140728795,2.0,7.0,30.0,76.0,265.0
2015-01-04,MGH,NO2,1,89.0,26.370786516853933,11.700215637554322,8.0,16.0,27.0,33.0,60.0
2015-01-04,MGH,NOX,1,89.0,74.20224719101124,56.28341023445559,11.0,23.0,66.0,113.0,295.0
2015-01-04,MGH,O3,1,89.0,15.876404494382022,19.96805415971808,0.0,1.0,5.0,29.0,84.0
2015-01-04,MGH,PM10,2,92.0,47.33695652173913,56.395245137794525,7.0,20.0,26.0,41.0,293.0
