Pollutants
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.df.gob.mx
timeStamp:,2010/01/01 al 2010/12/31		
average_interval: 001h
version:DT001-IMD-20150901-110716
key: M-RYM8G-R8S7G-KG7VK-U7EQ2			
date,cve_station,cve_parameter,value,unit
01/01/2010 01:00,TAC,RH,,6
01/01/2010 01:00,FAC,RH,70,6
01/01/2010 01:00,SAG,RH,54,6
01/01/2010 01:00,TLA,RH,61,6
01/01/2010 01:00,XAL,RH,52,6
01/01/2010 01:00,MER,RH,57,6
01/01/2010 01:00,PED,RH,,6
01/01/2010 01:00,CES,RH,60,6
01/01/2010 01:00,PLA,RH,63,6
01/01/2010 01:00,VIF,RH,,6
01/01/2010 01:00,CUA,RH,,6
01/01/2010 01:00,TPN,RH,,6
01/01/2010 01:00,MON,RH,,6
01/01/2010 01:00,TAH,RH,,6
01/01/2010 01:00,IMP,RH,,6
01/01/2010 01:00,SUR,RH,,6
01/01/2010 02:00,TAC,RH,,6
01/01/2010 02:00,FAC,RH,71,6
01/01/2010 02:00,SAG,RH,57,6
01/01/2010 02:00,TLA,RH,61,6
01/01/2010 02:00,XAL,RH,51,6
01/01/2010 02:00,MER,RH,58,6
01/01/2010 02:00,PED,RH,,6
01/01/2010 02:00,CES,RH,60,6
01/01/2010 02:00,PLA,RH,65,6
01/01/2010 02:00,VIF,RH,,6
01/01/2010 02:00,CUA,RH,,6
01/01/2010 02:00,TPN,RH,,6
01/01/2010 02:00,MON,RH,,6
01/01/2010 02:00,TAH,RH,,6
01/01/2010 02:00,IMP,RH,,6
01/01/2010 02:00,SUR,RH,,6
01/01/2010 03:00,TAC,RH,,6
01/01/2010 03:00,FAC,RH,60,6
01/01/2010 03:00,SAG,RH,55,6
01/01/2010 03:00,TLA,RH,59,6
01/01/2010 03:00,XAL,RH,47,6
01/01/2010 03:00,MER,RH,56,6
01/01/2010 03:00,PED,RH,,6
01/01/2010 03:00,CES,RH,58,6
01/01/2010 03:00,PLA,RH,58,6
01/01/2010 03:00,VIF,RH,,6
01/01/2010 03:00,CUA,RH,,6
01/01/2010 03:00,TPN,RH,,6
01/01/2010 03:00,MON,RH,,6
01/01/2010 03:00,TAH,RH,,6
01/01/2010 03:00,IMP,RH,,6
01/01/2010 03:00,SUR,RH,,6
01/01/2010 04:00,TAC,RH,,6
01/01/2010 04:00,FAC,RH,58,6
01/01/2010 04:00,SAG,RH,54,6
01/01/2010 04:00,TLA,RH,61,6
01/01/2010 04:00,XAL,RH,48,6
01/01/2010 04:00,MER,RH,47,6
01/01/2010 04:00,PED,RH,,6
01/01/2010 04:00,CES,RH,50,6
01/01/2010 04:00,PLA,RH,58,6
01/01/2010 04:00,VIF,RH,,6
01/01/2010 04:00,CUA,RH,,6
01/01/2010 04:00,TPN,RH,,6
01/01/2010 04:00,MON,RH,,6
01/01/2010 04:00,TAH,RH,,6
01/01/2010 04:00,IMP,RH,,6
01/01/2010 04:00,SUR,RH,,6
01/01/2010 05:00,TAC,RH,,6
01/01/2010 05:00,FAC,RH,60,6
01/01/2010 05:00,SAG,RH,58,6
01/01/2010 05:00,TLA,RH,63,6
01/01/2010 05:00,XAL,RH,51,6
01/01/2010 05:00,MER,RH,50,6
01/01/2010 05:00,PED,RH,,6
01/01/2010 05:00,CES,RH,45,6
01/01/2010 05:00,PLA,RH,60,6
01/01/2010 05:00,VIF,RH,,6
01/01/2010 05:00,CUA,RH,,6
01/01/2010 05:00,TPN,RH,,6
01/01/2010 05:00,MON,RH,,6
01/01/2010 05:00,TAH,RH,,6
01/01/2010 05:00,IMP,RH,,6
01/01/2010 05:00,SUR,RH,,6
01/01/2010 06:00,TAC,RH,,6
01/01/2010 06:00,FAC,RH,70,6
01/01/2010 06:00,SAG,RH,80,6
01/01/2010 06:00,TLA,RH,75,6
01/01/2010 06:00,XAL,RH,73,6
01/01/2010 06:00,MER,RH,64,6
01/01/2010 06:00,PED,RH,,6
01/01/2010 06:00,CES,RH,51,6
01/01/2010 06:00,PLA,RH,66,6
01/01/2010 06:00,VIF,RH,,6
01/01/2010 06:00,CUA,RH,,6
01/01/2010 06:00,TPN,RH,,6
01/01/2010 06:00,MON,RH,,6
01/01/2010 06:00,TAH,RH,,6
01/01/2010 06:00,IMP,RH,,6
01/01/2010 06:00,SUR,RH,,6
01/01/2010 07:00,TAC,RH,,6
01/01/2010 07:00,FAC,RH,79,6
01/01/2010 07:00,SAG,RH,82,6
01/01/2010 07:00,TLA,RH,81,6
01/01/2010 07:00,XAL,RH,75,6
01/01/2010 07:00,MER,RH,75,6
01/01/2010 07:00,PED,RH,,6
01/01/2010 07:00,CES,RH,61,6
01/01/2010 07:00,PLA,RH,79,6
01/01/2010 07:00,VIF,RH,,6
01/01/2010 07:00,CUA,RH,,6
01/01/2010 07:00,TPN,RH,,6
01/01/2010 07:00,MON,RH,,6
01/01/2010 07:00,TAH,RH,,6
01/01/2010 07:00,IMP,RH,,6
01/01/2010 07:00,SUR,RH,,6
01/01/2010 08:00,TAC,RH,,6
01/01/2010 08:00,FAC,RH,82,6
01/01/2010 08:00,SAG,RH,79,6
01/01/2010 08:00,TLA,RH,80,6
01/01/2010 08:00,XAL,RH,73,6
01/01/2010 08:00,MER,RH,77,6
01/01/2010 08:00,PED,RH,,6
01/01/2010 08:00,CES,RH,64,6
01/01/2010 08:00,PLA,RH,82,6
01/01/2010 08:00,VIF,RH,,6
01/01/2010 08:00,CUA,RH,,6
01/01/2010 08:00,TPN,RH,,6
01/01/2010 08:00,MON,RH,,6
01/01/2010 08:00,TAH,RH,,6
01/01/2010 08:00,IMP,RH,,6
01/01/2010 08:00,SUR,RH,,6
01/01/2010 09:00,TAC,RH,,6
01/01/2010 09:00,FAC,RH,79,6
01/01/2010 09:00,SAG,RH,73,6
01/01/2010 09:00,TLA,RH,74,6
01/01/2010 09:00,XAL,RH,68,6
01/01/2010 09:00,MER,RH,72,6
01/01/2010 09:00,PED,RH,,6
01/01/2010 09:00,CES,RH,62,6
01/01/2010 09:00,PLA,RH,78,6
01/01/2010 09:00,VIF,RH,,6
01/01/2010 09:00,CUA,RH,,6
01/01/2010 09:00,TPN,RH,,6
01/01/2010 09:00,MON,RH,,6
01/01/2010 09:00,TAH,RH,,6
01/01/2010 09:00,IMP,RH,,6
01/01/2010 09:00,SUR,RH,,6
01/01/2010 10:00,TAC,RH,,6
01/01/2010 10:00,FAC,RH,62,6
01/01/2010 10:00,SAG,RH,66,6
01/01/2010 10:00,TLA,RH,61,6
01/01/2010 10:00,XAL,RH,60,6
01/01/2010 10:00,MER,RH,64,6
01/01/2010 10:00,PED,RH,,6
01/01/2010 10:00,CES,RH,57,6
01/01/2010 10:00,PLA,RH,67,6
01/01/2010 10:00,VIF,RH,,6
01/01/2010 10:00,CUA,RH,,6
01/01/2010 10:00,TPN,RH,,6
01/01/2010 10:00,MON,RH,,6
01/01/2010 10:00,TAH,RH,,6
01/01/2010 10:00,IMP,RH,,6
01/01/2010 10:00,SUR,RH,,6
01/01/2010 11:00,TAC,RH,,6
01/01/2010 11:00,FAC,RH,52,6
01/01/2010 11:00,SAG,RH,60,6
01/01/2010 11:00,TLA,RH,55,6
01/01/2010 11:00,XAL,RH,56,6
01/01/2010 11:00,MER,RH,55,6
01/01/2010 11:00,PED,RH,,6
01/01/2010 11:00,CES,RH,51,6
01/01/2010 11:00,PLA,RH,55,6
01/01/2010 11:00,VIF,RH,,6
01/01/2010 11:00,CUA,RH,,6
01/01/2010 11:00,TPN,RH,,6
01/01/2010 11:00,MON,RH,,6
01/01/2010 11:00,TAH,RH,,6
01/01/2010 11:00,IMP,RH,,6
01/01/2010 11:00,SUR,RH,,6
01/01/2010 12:00,TAC,RH,,6
01/01/2010 12:00,FAC,RH,50,6
01/01/2010 12:00,SAG,RH,54,6
