Pollutants
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.df.gob.mx
timeStamp: 2013/01/01 al 2013/12/31
average_interval: 001h
version:DT002-IAD-20150914-170559
key: M-EV1SY-BV0H4-77XWS-QTRTG	
date,id_station,id_parameter,value,unit
01/01/2013 01:00,ACO,RH,58,6
01/01/2013 01:00,ACO,TMP,11,5
01/01/2013 01:00,ACO,WDR,118,4
01/01/2013 01:00,ACO,WSP,0.7,3
01/01/2013 01:00,MON,RH,57,6
01/01/2013 01:00,MON,TMP,12.5,5
01/01/2013 01:00,MON,WDR,139,4
01/01/2013 01:00,MON,WSP,2.1,3
01/01/2013 01:00,CHO,RH,,6
01/01/2013 01:00,CHO,TMP,,5
01/01/2013 01:00,CHO,WDR,138,4
01/01/2013 01:00,CHO,WSP,1.1,3
01/01/2013 01:00,CUA,RH,62,6
01/01/2013 01:00,CUA,TMP,9.4,5
01/01/2013 01:00,CUA,WDR,249,4
01/01/2013 01:00,CUA,WSP,1.6,3
01/01/2013 01:00,CUT,RH,,6
01/01/2013 01:00,CUT,TMP,,5
01/01/2013 01:00,CUT,WDR,,4
01/01/2013 01:00,CUT,WSP,,3
01/01/2013 01:00,FAC,RH,,6
01/01/2013 01:00,FAC,TMP,,5
01/01/2013 01:00,FAC,WDR,234,4
01/01/2013 01:00,FAC,WSP,0.7,3
01/01/2013 01:00,HGM,RH,54,6
01/01/2013 01:00,HGM,TMP,14.5,5
01/01/2013 01:00,HGM,WDR,130,4
01/01/2013 01:00,HGM,WSP,1,3
01/01/2013 01:00,MER,RH,53,6
01/01/2013 01:00,MER,TMP,14.5,5
01/01/2013 01:00,MER,WDR,183,4
01/01/2013 01:00,MER,WSP,0.9,3
01/01/2013 01:00,MER,PBa,586,9
01/01/2013 01:00,NEZ,RH,54,6
01/01/2013 01:00,NEZ,TMP,14.7,5
01/01/2013 01:00,NEZ,WDR,143,4
01/01/2013 01:00,NEZ,WSP,2,3
01/01/2013 01:00,PED,RH,59,6
01/01/2013 01:00,PED,TMP,11.2,5
01/01/2013 01:00,PED,WDR,205,4
01/01/2013 01:00,PED,WSP,1.4,3
01/01/2013 01:00,SAG,RH,,6
01/01/2013 01:00,SAG,TMP,,5
01/01/2013 01:00,SAG,WDR,89,4
01/01/2013 01:00,SAG,WSP,0.8,3
01/01/2013 01:00,SFE,RH,62,6
01/01/2013 01:00,SFE,TMP,10.6,5
01/01/2013 01:00,SFE,WDR,221,4
01/01/2013 01:00,SFE,WSP,2.1,3
01/01/2013 01:00,SUR,RH,,6
01/01/2013 01:00,SUR,TMP,,5
01/01/2013 01:00,SUR,WDR,52,4
01/01/2013 01:00,SUR,WSP,0.9,3
01/01/2013 01:00,TAH,RH,63,6
01/01/2013 01:00,TAH,TMP,10.7,5
01/01/2013 01:00,TAH,WDR,124,4
01/01/2013 01:00,TAH,WSP,1.6,3
01/01/2013 01:00,TLA,RH,59,6
01/01/2013 01:00,TLA,TMP,13.2,5
01/01/2013 01:00,TLA,WDR,235,4
01/01/2013 01:00,TLA,WSP,0.8,3
01/01/2013 01:00,TPN,RH,71,6
01/01/2013 01:00,TPN,TMP,7.6,5
01/01/2013 01:00,TPN,WDR,176,4
01/01/2013 01:00,TPN,WSP,2.3,3
01/01/2013 01:00,VIF,RH,55,6
01/01/2013 01:00,VIF,TMP,13.1,5
01/01/2013 01:00,VIF,WDR,250,4
01/01/2013 01:00,VIF,WSP,0.9,3
01/01/2013 01:00,XAL,RH,,6
01/01/2013 01:00,XAL,TMP,,5
01/01/2013 01:00,XAL,WDR,,4
01/01/2013 01:00,XAL,WSP,,3
01/01/2013 02:00,ACO,RH,63,6
01/01/2013 02:00,ACO,TMP,9.8,5
01/01/2013 02:00,ACO,WDR,332,4
01/01/2013 02:00,ACO,WSP,0.8,3
01/01/2013 02:00,MON,RH,60,6
01/01/2013 02:00,MON,TMP,11.7,5
01/01/2013 02:00,MON,WDR,137,4
01/01/2013 02:00,MON,WSP,2.1,3
01/01/2013 02:00,CHO,RH,,6
01/01/2013 02:00,CHO,TMP,,5
01/01/2013 02:00,CHO,WDR,134,4
01/01/2013 02:00,CHO,WSP,1.5,3
01/01/2013 02:00,CUA,RH,63,6
01/01/2013 02:00,CUA,TMP,8.7,5
01/01/2013 02:00,CUA,WDR,206,4
01/01/2013 02:00,CUA,WSP,1.4,3
01/01/2013 02:00,CUT,RH,,6
01/01/2013 02:00,CUT,TMP,,5
01/01/2013 02:00,CUT,WDR,,4
01/01/2013 02:00,CUT,WSP,,3
01/01/2013 02:00,FAC,RH,,6
01/01/2013 02:00,FAC,TMP,,5
01/01/2013 02:00,FAC,WDR,201,4
01/01/2013 02:00,FAC,WSP,0.4,3
01/01/2013 02:00,HGM,RH,58,6
01/01/2013 02:00,HGM,TMP,13.5,5
01/01/2013 02:00,HGM,WDR,134,4
01/01/2013 02:00,HGM,WSP,0.9,3
01/01/2013 02:00,MER,RH,55,6
01/01/2013 02:00,MER,TMP,13.8,5
01/01/2013 02:00,MER,WDR,203,4
01/01/2013 02:00,MER,WSP,1.3,3
01/01/2013 02:00,MER,PBa,586,9
01/01/2013 02:00,NEZ,RH,56,6
01/01/2013 02:00,NEZ,TMP,14,5
01/01/2013 02:00,NEZ,WDR,137,4
01/01/2013 02:00,NEZ,WSP,2,3
01/01/2013 02:00,PED,RH,63,6
01/01/2013 02:00,PED,TMP,10.3,5
01/01/2013 02:00,PED,WDR,221,4
01/01/2013 02:00,PED,WSP,1.3,3
01/01/2013 02:00,SAG,RH,,6
01/01/2013 02:00,SAG,TMP,,5
01/01/2013 02:00,SAG,WDR,83,4
01/01/2013 02:00,SAG,WSP,0.7,3
01/01/2013 02:00,SFE,RH,63,6
01/01/2013 02:00,SFE,TMP,9.9,5
01/01/2013 02:00,SFE,WDR,223,4
01/01/2013 02:00,SFE,WSP,2.2,3
01/01/2013 02:00,SUR,RH,,6
01/01/2013 02:00,SUR,TMP,,5
01/01/2013 02:00,SUR,WDR,47,4
01/01/2013 02:00,SUR,WSP,1.1,3
01/01/2013 02:00,TAH,RH,67,6
01/01/2013 02:00,TAH,TMP,9.7,5
01/01/2013 02:00,TAH,WDR,136,4
01/01/2013 02:00,TAH,WSP,1.1,3
01/01/2013 02:00,TLA,RH,61,6
01/01/2013 02:00,TLA,TMP,12.7,5
01/01/2013 02:00,TLA,WDR,166,4
01/01/2013 02:00,TLA,WSP,0.7,3
01/01/2013 02:00,TPN,RH,74,6
01/01/2013 02:00,TPN,TMP,6.7,5
01/01/2013 02:00,TPN,WDR,171,4
01/01/2013 02:00,TPN,WSP,2.4,3
01/01/2013 02:00,VIF,RH,58,6
01/01/2013 02:00,VIF,TMP,12.6,5
01/01/2013 02:00,VIF,WDR,350,4
01/01/2013 02:00,VIF,WSP,0.5,3
01/01/2013 02:00,XAL,RH,,6
01/01/2013 02:00,XAL,TMP,,5
01/01/2013 02:00,XAL,WDR,,4
01/01/2013 02:00,XAL,WSP,,3
01/01/2013 03:00,ACO,RH,65,6
01/01/2013 03:00,ACO,TMP,8.9,5
01/01/2013 03:00,ACO,WDR,25,4
01/01/2013 03:00,ACO,WSP,0.8,3
01/01/2013 03:00,MON,RH,65,6
01/01/2013 03:00,MON,TMP,10.5,5
01/01/2013 03:00,MON,WDR,121,4
01/01/2013 03:00,MON,WSP,1,3
01/01/2013 03:00,CHO,RH,,6
01/01/2013 03:00,CHO,TMP,,5
01/01/2013 03:00,CHO,WDR,88,4
01/01/2013 03:00,CHO,WSP,1.3,3
01/01/2013 03:00,CUA,RH,67,6
01/01/2013 03:00,CUA,TMP,8.1,5
01/01/2013 03:00,CUA,WDR,235,4
01/01/2013 03:00,CUA,WSP,1.2,3
01/01/2013 03:00,CUT,RH,,6
01/01/2013 03:00,CUT,TMP,,5
01/01/2013 03:00,CUT,WDR,,4
01/01/2013 03:00,CUT,WSP,,3
01/01/2013 03:00,FAC,RH,,6
01/01/2013 03:00,FAC,TMP,,5
01/01/2013 03:00,FAC,WDR,214,4
01/01/2013 03:00,FAC,WSP,0.8,3
01/01/2013 03:00,HGM,RH,59,6
01/01/2013 03:00,HGM,TMP,13.1,5
