dia,hora,NO2_ppb,O3_ppb,NO2_norm,O3_norm
Lunes,0,20.496150971599402,13.768641280429899,38.6,5.2
Lunes,6,29.37722368386085,14.663886598882476,91.9,6.9
Lunes,12,18.918747850017198,59.80719821266494,29.1,96.2
Lunes,18,25.850945493504753,27.354461227211072,70.7,32.0
Martes,0,22.497537209551343,12.804385781129968,50.6,3.3
Martes,6,30.735746852220014,14.853590907007652,100.0,7.3
Martes,12,19.362755911760036,60.53684327955095,31.8,97.6
Martes,18,26.212768817204303,27.07479110558663,72.9,31.5
Miércoles,0,22.70338694544967,12.88195085559752,51.8,3.4
Miércoles,6,30.728921412663063,14.707266511159897,100.0,7.0
Miércoles,12,19.641153163181468,59.74150987715218,33.5,96.0
Miércoles,18,26.32511322463768,26.35997791885178,73.6,30.1
Jueves,0,22.500610617817244,12.697325303441712,50.6,3.0
Jueves,6,30.44713394397982,14.682312738576881,98.3,7.0
Jueves,12,19.7281900990099,60.49583829191459,34.0,97.5
Jueves,18,26.497578472944504,26.454293276502128,74.6,30.2
Viernes,0,23.177990639378073,12.273747239094423,54.7,2.2
Viernes,6,30.544268189509303,14.649985223578621,98.9,6.9
Viernes,12,20.36874145366572,59.91314941089155,37.8,96.4
Viernes,18,27.399063222514553,25.906471314850396,80.0,29.2
Sábado,0,24.724903796151846,11.155008488964347,64.0,0.0
Sábado,6,28.93223092998955,15.498525662718556,89.2,8.6
Sábado,12,17.936368377138088,61.171959007700465,23.3,98.9
Sábado,18,23.30680478821363,29.03778201029408,55.5,35.3
Domingo,0,22.076326821165864,12.8785732279858,48.1,3.4
Domingo,6,23.706986677115985,18.637512180751017,57.9,14.8
Domingo,12,14.05750039166536,61.753173995732446,0.0,100.0
Domingo,18,22.140037678180907,29.073368871878987,48.5,35.4
